
---------- Begin Simulation Statistics ----------
simSeconds                                   0.295186                       # Number of seconds simulated (Second)
simTicks                                 295185770500                       # Number of ticks simulated (Tick)
finalTick                                295185770500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   2919.51                       # Real time elapsed on the host (Second)
hostTickRate                                101107827                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8787008                       # Number of bytes of host memory used (Byte)
simInsts                                    500000000                       # Number of instructions simulated (Count)
simOps                                      881085600                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   171261                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     301792                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        590371542                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1635626548                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     3858                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1453103927                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                1386079                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            754544758                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined        1176289374                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                3063                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           590233392                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.461914                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.467864                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 229148169     38.82%     38.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  38998230      6.61%     45.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  50713915      8.59%     54.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  59587038     10.10%     64.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  67292141     11.40%     75.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  57844865      9.80%     85.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  45350716      7.68%     93.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  26966976      4.57%     97.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  14331342      2.43%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             590233392                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                10058784     90.89%     90.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     90.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     90.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     90.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     90.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     6      0.00%     90.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     90.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     90.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     90.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     90.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     90.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     90.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     90.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      5      0.00%     90.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     90.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      4      0.00%     90.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                     0      0.00%     90.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     90.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     90.89% # attempts to use FU when none available (Count)
