
---------- Begin Simulation Statistics ----------
simSeconds                                   0.297854                       # Number of seconds simulated (Second)
simTicks                                 297854450500                       # Number of ticks simulated (Tick)
finalTick                                297854450500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   3092.38                       # Real time elapsed on the host (Second)
hostTickRate                                 96318954                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8789052                       # Number of bytes of host memory used (Byte)
simInsts                                    500000000                       # Number of instructions simulated (Count)
simOps                                      881085600                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   161688                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     284922                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        595708902                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1635741554                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     3856                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1453271073                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                1389243                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            754659762                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined        1176093442                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                3061                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           595569881                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.440135                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.467353                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 234315787     39.34%     39.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  39119818      6.57%     45.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  50745993      8.52%     54.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  59615105     10.01%     64.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  67302274     11.30%     75.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  57842049      9.71%     85.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  45337799      7.61%     93.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  26960629      4.53%     97.59% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  14330427      2.41%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             595569881                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                10055588     90.90%     90.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     90.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     90.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     90.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     90.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     6      0.00%     90.90% # attempts to use FU when none available (Count)
